Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2012/13,Paris Saint-Germain,38,25,8,5,69,23,46,83
2,2012/13,Marseille,38,21,8,9,42,36,6,71
3,2012/13,Lyon,38,19,10,9,61,38,23,67
4,2012/13,Nice,38,18,10,10,57,46,11,64
5,2012/13,St Etienne,38,16,15,7,60,32,28,63
6,2012/13,Lille,38,16,14,8,59,40,19,62
7,2012/13,Bordeaux,38,13,16,9,40,34,6,55
8,2012/13,Lorient,38,14,11,13,57,58,-1,53
9,2012/13,Montpellier,38,15,7,16,54,51,3,52
10,2012/13,Toulouse,38,13,12,13,49,47,2,51
11,2012/13,Valenciennes,38,12,12,14,49,53,-4,48
12,2012/13,Bastia,38,13,8,17,50,66,-16,47
13,2012/13,Rennes,38,13,7,18,48,59,-11,46
14,2012/13,Reims,38,10,13,15,33,42,-9,43
15,2012/13,Sochaux,38,10,11,17,41,57,-16,41
16,2012/13,Evian Thonon Gaillar,38,10,10,18,46,53,-7,40
17,2012/13,AC Ajaccio,38,9,15,14,39,51,-12,40
18,2012/13,Nancy,38,9,11,18,38,58,-20,38
19,2012/13,Troyes,38,8,13,17,43,61,-18,37
20,2012/13,Brest,38,8,5,25,32,62,-30,29
