Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2021/22,Paris Saint-Germain,38,26,8,4,90,36,54,86
2,2021/22,Marseille,38,21,8,9,63,38,25,71
3,2021/22,Monaco,38,20,9,9,65,40,25,69
4,2021/22,Rennes,38,20,6,12,82,40,42,66
5,2021/22,Nice,38,20,7,11,52,36,16,66
6,2021/22,Strasbourg,38,17,12,9,60,43,17,63
7,2021/22,RC Lens,38,17,11,10,62,48,14,62
8,2021/22,Lyon,38,17,11,10,66,51,15,61
9,2021/22,Nantes,38,15,10,13,55,48,7,55
10,2021/22,Lille,38,14,13,11,48,48,0,55
11,2021/22,Brest,38,13,9,16,49,57,-8,48
12,2021/22,Reims,38,11,13,14,43,44,-1,46
13,2021/22,Montpellier,38,12,7,19,49,61,-12,43
14,2021/22,Angers,38,10,11,17,44,55,-11,41
15,2021/22,Troyes,38,9,11,18,37,53,-16,38
16,2021/22,Lorient,38,8,12,18,35,63,-28,36
17,2021/22,Clermont,38,9,9,20,38,69,-31,36
18,2021/22,St Etienne,38,7,11,20,42,77,-35,32
19,2021/22,Metz,38,6,13,19,35,69,-34,31
20,2021/22,Bordeaux,38,6,13,19,52,91,-39,31
