Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2016/17,Monaco,38,30,5,3,107,31,76,95
2,2016/17,Paris Saint-Germain,38,27,6,5,83,27,56,87
3,2016/17,Nice,38,22,12,4,63,36,27,78
4,2016/17,Lyon,38,21,4,13,77,48,29,67
5,2016/17,Marseille,38,17,11,10,57,41,16,62
6,2016/17,Bordeaux,38,15,14,9,53,43,10,59
7,2016/17,Nantes,38,14,9,15,40,54,-14,51
8,2016/17,St Etienne,38,12,14,12,41,42,-1,50
9,2016/17,Rennes,38,12,14,12,36,42,-6,50
10,2016/17,Guingamp,38,14,8,16,46,53,-7,50
11,2016/17,Lille,38,13,7,18,40,47,-7,46
12,2016/17,Angers,38,13,7,18,40,49,-9,46
13,2016/17,Toulouse,38,10,14,14,37,41,-4,44
14,2016/17,Metz,38,11,10,17,39,72,-33,43
15,2016/17,Montpellier,38,10,9,19,48,66,-18,39
16,2016/17,Dijon,38,8,13,17,46,58,-12,37
17,2016/17,Caen,38,10,7,21,36,65,-29,37
18,2016/17,Lorient,38,10,6,22,44,70,-26,36
19,2016/17,Nancy,38,9,8,21,29,52,-23,35
20,2016/17,Bastia,38,8,10,20,29,54,-25,34
