HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
Nice,Rennes,1,2,A,1,1,D,8,10,3,5,15,20,2,4,2,3,0,0
Brest,Valenciennes,1,0,H,0,0,D,13,6,5,3,13,20,7,4,0,3,0,0
Lens,Paris SG,0,2,A,0,0,D,14,20,3,6,18,19,4,7,0,3,0,0
Toulouse,Lille,1,1,D,0,1,A,14,6,6,2,22,10,3,0,3,3,0,0
Arles,Auxerre,0,4,A,0,2,A,8,14,0,8,16,18,5,0,1,0,0,0
Bordeaux,Lorient,1,0,H,1,0,H,10,7,2,3,22,15,6,8,1,3,0,0
Monaco,Brest,0,1,A,0,0,D,13,10,7,2,18,10,8,5,2,1,0,0
Nancy,Lyon,2,3,A,0,1,A,19,8,6,3,20,21,6,3,1,3,0,0
Sochaux,Lens,3,0,H,2,0,H,11,12,7,5,16,13,3,5,1,3,0,0
St Etienne,Marseille,1,1,D,0,1,A,18,13,8,3,12,10,9,4,1,1,0,0
Valenciennes,Caen,2,1,H,2,0,H,14,7,4,1,22,10,5,3,2,3,0,0
Lille,Montpellier,3,1,H,2,1,H,11,15,6,6,14,18,3,3,1,0,0,0
Paris SG,Nice,0,0,D,0,0,D,19,11,6,2,10,10,12,3,1,4,0,0
Rennes,Toulouse,3,1,H,1,0,H,14,15,7,2,9,15,3,4,0,1,0,0
Auxerre,Bordeaux,0,1,A,0,1,A,15,9,2,4,16,18,8,8,1,2,0,1
Brest,Arles,0,0,D,0,0,D,11,8,1,1,17,19,5,1,0,0,0,0
Caen,Monaco,0,0,D,0,0,D,10,15,2,6,14,17,7,7,2,2,0,0
Marseille,Nancy,1,0,H,1,0,H,14,7,4,2,17,17,13,3,1,1,0,0
Montpellier,Sochaux,2,0,H,2,0,H,14,5,6,1,18,16,5,3,0,4,0,0
Toulouse,Paris SG,0,2,A,0,1,A,6,13,4,7,19,14,6,4,2,1,0,0
Lens,Rennes,0,0,D,0,0,D,12,10,4,4,21,24,2,3,2,1,0,1
Lorient,Valenciennes,2,1,H,2,1,H,15,14,6,5,14,18,3,4,1,3,0,0
Lyon,Lille,3,1,H,2,0,H,16,20,9,9,19,11,4,3,0,2,1,0
Nice,St Etienne,2,1,H,0,1,A,18,8,7,2,8,15,8,2,2,5,0,1
Bordeaux,Brest,0,2,A,0,1,A,20,11,7,6,10,15,11,8,2,2,0,0
Lens,Nice,1,0,H,0,0,D,21,10,2,3,9,13,4,4,2,2,0,0
Monaco,Valenciennes,0,2,A,0,1,A,12,13,3,4,25,17,7,4,2,2,0,0
Nancy,Lorient,1,0,H,1,0,H,16,13,5,4,20,20,11,5,1,2,0,1
Rennes,Montpellier,0,1,A,0,1,A,12,11,5,2,17,18,6,1,2,3,1,1
Sochaux,Toulouse,1,3,A,0,0,D,8,12,4,8,15,14,1,9,1,1,0,0
St Etienne,Caen,1,1,D,0,1,A,26,7,5,2,14,16,5,6,1,3,0,0
Arles,Lyon,1,1,D,1,0,H,8,10,2,5,13,14,2,6,1,2,0,0
Lille,Marseille,1,3,A,1,0,H,14,9,7,7,15,19,7,4,2,3,0,0
Paris SG,Auxerre,2,3,A,1,3,A,14,8,7,4,19,14,5,3,1,2,0,0
Auxerre,Nice,2,0,H,1,0,H,16,19,7,4,9,12,0,4,1,2,0,0
Brest,St Etienne,2,0,H,0,0,D,14,14,5,1,16,9,1,4,1,0,0,0
Caen,Nancy,2,3,A,1,2,A,13,14,3,6,28,20,5,3,3,4,0,0
Lorient,Arles,2,0,H,0,0,D,16,7,5,1,13,16,7,1,1,1,0,0
Lyon,Sochaux,2,1,H,1,0,H,16,7,3,4,10,17,8,3,1,2,0,0
Toulouse,Lens,1,1,D,1,1,D,5,9,2,2,19,17,4,2,1,1,0,0
Montpellier,Paris SG,1,1,D,1,1,D,17,15,5,3,23,17,2,4,2,2,0,0
Valenciennes,Lille,1,1,D,0,0,D,10,18,3,3,16,15,4,7,3,1,0,0
Monaco,Bordeaux,2,2,D,0,1,A,16,12,7,4,16,15,4,5,2,3,1,0
Arles,Caen,3,2,H,2,1,H,14,13,9,5,21,15,5,8,1,2,0,0
Bordeaux,Valenciennes,1,1,D,0,1,A,28,7,8,4,9,16,7,3,3,4,0,0
Rennes,Lyon,1,1,D,1,0,H,10,12,5,5,20,20,5,5,0,2,0,0
Sochaux,Auxerre,1,1,D,0,1,A,24,14,7,5,15,14,10,5,2,1,0,0
St Etienne,Lorient,1,2,A,0,1,A,11,21,5,7,20,6,4,8,3,0,0,0
Lens,Montpellier,2,0,H,2,0,H,8,16,5,3,26,19,2,5,2,2,0,0
Lille,Brest,3,1,H,1,0,H,20,15,7,4,13,13,4,2,1,2,0,0
Nancy,Monaco,0,4,A,0,0,D,16,11,5,4,15,16,4,5,0,2,0,0
Nice,Toulouse,2,0,H,1,0,H,6,12,3,3,13,25,3,5,2,2,0,1
Paris SG,Marseille,2,1,H,2,1,H,11,15,6,5,18,16,5,4,3,3,0,0
Bordeaux,Nancy,2,1,H,1,0,H,10,8,4,2,22,15,5,3,2,3,0,0
Brest,Sochaux,1,1,D,1,1,D,18,10,5,3,11,15,12,3,1,2,0,0
Caen,Lille,2,5,A,1,3,A,11,22,5,8,15,18,1,0,3,1,0,0
Marseille,Lens,1,1,D,1,0,H,19,7,5,2,22,13,4,5,1,2,0,0
Monaco,Arles,0,0,D,0,0,D,16,9,4,4,10,19,9,5,0,1,0,0
Montpellier,Toulouse,1,0,H,1,0,H,13,6,5,3,14,27,4,4,1,1,0,0
Auxerre,Rennes,2,1,H,0,0,D,12,12,5,5,18,11,5,2,4,1,0,0
Lorient,Paris SG,1,1,D,1,0,H,13,19,4,8,8,21,7,9,2,2,0,0
