Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2018/19,Paris Saint-Germain,38,29,4,5,105,35,70,91
2,2018/19,Lille,38,22,9,7,68,33,35,75
3,2018/19,Lyon,38,21,9,8,70,47,23,72
4,2018/19,St Etienne,38,19,9,10,59,41,18,66
5,2018/19,Marseille,38,18,7,13,60,52,8,61
6,2018/19,Montpellier,38,15,14,9,53,42,11,59
7,2018/19,Nice,38,15,11,12,30,35,-5,56
8,2018/19,Reims,38,13,16,9,39,42,-3,55
9,2018/19,Nimes,38,15,8,15,57,58,-1,53
10,2018/19,Rennes,38,13,13,12,55,52,3,52
11,2018/19,Strasbourg,38,11,16,11,58,48,10,49
12,2018/19,Nantes,38,13,9,16,48,48,0,48
13,2018/19,Angers,38,10,16,12,44,49,-5,46
14,2018/19,Bordeaux,38,10,11,17,34,42,-8,41
15,2018/19,Amiens,38,9,11,18,31,52,-21,38
16,2018/19,Toulouse,38,8,14,16,35,57,-22,38
17,2018/19,Monaco,38,8,12,18,38,57,-19,36
18,2018/19,Dijon,38,9,7,22,31,60,-29,34
19,2018/19,Caen,38,7,12,19,29,54,-25,33
20,2018/19,Guingamp,38,5,12,21,28,68,-40,27
