Position,Season,Club,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
1,2014/15,Paris Saint-Germain,38,24,11,3,83,36,47,83
2,2014/15,Lyon,38,22,9,7,72,33,39,75
3,2014/15,Monaco,38,20,11,7,51,26,25,71
4,2014/15,Marseille,38,21,6,11,76,42,34,69
5,2014/15,St Etienne,38,19,12,7,51,30,21,69
6,2014/15,Bordeaux,38,17,12,9,47,44,3,63
7,2014/15,Montpellier,38,16,8,14,46,39,7,56
8,2014/15,Lille,38,16,8,14,43,42,1,56
9,2014/15,Rennes,38,13,11,14,35,42,-7,50
10,2014/15,Guingamp,38,15,4,19,41,55,-14,49
11,2014/15,Nice,38,13,9,16,44,53,-9,48
12,2014/15,Bastia,38,12,11,15,37,46,-9,47
13,2014/15,Caen,38,12,10,16,54,55,-1,46
14,2014/15,Nantes,38,11,12,15,29,40,-11,45
15,2014/15,Reims,38,12,8,18,47,66,-19,44
16,2014/15,Lorient,38,12,7,19,44,50,-6,43
17,2014/15,Toulouse,38,12,6,20,43,64,-21,42
18,2014/15,Evian Thonon Gaillar,38,11,4,23,41,62,-21,37
19,2014/15,Metz,38,7,9,22,31,61,-30,30
20,2014/15,RC Lens,38,7,8,23,32,61,-29,29
