,Position10_11,Club,Matches10_11,Wins10_11,Draws10_11,Losses10_11,GoalsScored10_11,GoalsConceded10_11,GoalDiff10_11,Points10_11,Position11_12,Matches11_12,Wins11_12,Draws11_12,Losses11_12,GoalsScored11_12,GoalsConceded11_12,GoalDiff11_12,Points11_12,Position12_13,Matches12_13,Wins12_13,Draws12_13,Losses12_13,GoalsScored12_13,GoalsConceded12_13,GoalDiff12_13,Points12_13,Position13_14,Matches13_14,Wins13_14,Draws13_14,Losses13_14,GoalsScored13_14,GoalsConceded13_14,GoalDiff13_14,Points13_14,Position14_15,Matches14_15,Wins14_15,Draws14_15,Losses14_15,GoalsScored14_15,GoalsConceded14_15,GoalDiff14_15,Points14_15,Position15_16,Matches15_16,Wins15_16,Draws15_16,Losses15_16,GoalsScored15_16,GoalsConceded15_16,GoalDiff15_16,Points15_16,Position16_17,Matches16_17,Wins16_17,Draws16_17,Losses16_17,GoalsScored16_17,GoalsConceded16_17,GoalDiff16_17,Points16_17,Position17_18,Matches17_18,Wins17_18,Draws17_18,Losses17_18,GoalsScored17_18,GoalsConceded17_18,GoalDiff17_18,Points17_18,Position18_19,Matches18_19,Wins18_19,Draws18_19,Losses18_19,GoalsScored18_19,GoalsConceded18_19,GoalDiff18_19,Points18_19,Position19_20,Matches19_20,Wins19_20,Draws19_20,Losses19_20,GoalsScored19_20,GoalsConceded19_20,GoalDiff19_20,Points19_20
14,15,Blackburn,38,11,10,17,46,59,-13,43,19,38,8,7,23,48,78,-30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Wigan,38,9,15,14,40,61,-21,42,15,38,11,10,17,42,62,-20,43,18,38,9,9,20,47,73,-26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,Wolves,38,11,7,20,46,66,-20,40,20,38,5,10,23,40,82,-42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,38,16,9,13,47,46,1,57,7,38,15,14,9,51,40,11,59
17,18,Birmingham,38,8,15,15,37,58,-21,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,Blackpool,38,10,9,19,55,78,-23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,West Ham,38,7,12,19,43,70,-27,33,,,,,,,,,,10,38,12,10,16,45,53,-8,46,13,38,11,7,20,40,51,-11,40,12,38,12,11,15,44,47,-3,47,7,38,16,14,8,65,51,14,62,11,38,12,9,17,47,64,-17,45,13,38,10,12,16,48,68,-20,42,10,38,15,7,16,52,55,-3,52,16,38,10,9,19,49,62,-13,39
20,,Swansea,,,,,,,,,11,38,12,11,15,44,51,-7,47,9,38,11,13,14,47,51,-4,46,12,38,11,9,18,54,54,0,42,8,38,16,8,14,46,49,-3,56,12,38,12,11,15,42,52,-10,47,15,38,12,5,21,45,70,-25,41,18,38,8,9,21,28,56,-28,33,,,,,,,,,,,,,,,,,,
21,,Norwich,,,,,,,,,12,38,12,11,15,52,66,-14,47,11,38,10,14,14,41,58,-17,44,18,38,8,9,21,28,62,-34,33,,,,,,,,,,19,38,9,7,22,39,67,-28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,38,5,6,27,26,75,-49,21
22,,QPR,,,,,,,,,17,38,10,7,21,43,66,-23,37,20,38,4,13,21,30,60,-30,25,,,,,,,,,,20,38,8,6,24,42,73,-31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Southampton,,,,,,,,,,,,,,,,,,14,38,9,14,15,49,60,-11,41,8,38,15,11,12,54,46,8,56,7,38,18,6,14,54,33,21,60,6,38,18,9,11,59,41,18,63,8,38,12,10,16,41,48,-7,46,17,38,7,15,16,37,56,-19,36,16,38,9,12,17,45,65,-20,39,11,38,15,7,16,51,60,-9,52
24,,Reading,,,,,,,,,,,,,,,,,,19,38,6,10,22,43,73,-30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,11,38,13,6,19,33,48,-15,45,10,38,13,9,16,47,51,-4,48,15,38,11,9,18,39,51,-12,42,14,38,12,5,21,50,63,-13,41,11,38,11,11,16,45,55,-10,44,12,38,14,7,17,51,53,-2,49,14,38,11,10,17,31,50,-19,43
